text,keywords,author
"Простыни вод под брюхом были.
Их рвал на волны белый зуб.
Был вой трубы — как будто лили
любовь и похоть медью труб.
Прижались лодки в люльках входов
к сосцам железных матерей.
В ушах оглохших пароходов
горели серьги якорей.
В шатрах, истертых ликов цвель где,
из ран лотков сочилась клюква,
а сквозь меня на лунном сельде
скакала крашеная буква.
","['вой', 'любовь', 'пароход', 'зуб', 'лунный']",Маяковский
"Вбиваю гулко шага сваи,
бросаю в бубны улиц дробь я.
Ходьбой усталые трамваи
скрестили блещущие копья.
Подняв рукой единый глаз,
кривая площадь кралась близко.
Смотрело небо в белый газ
лицом безглазым василиска.
У —
лица.
Лица
у
догов
годов
рез —
че.
","['гулко', 'усталый', 'трамвай', 'белый', 'смотреть']",Маяковский
"Че —
рез
железных коней
с окон бегущих домов
прыгнули первые кубы.
Лебеди шей колокольных,
гнитесь в силках проводов!
В небе жирафий рисунок готов
выпестрить ржавые чубы.
Пестр, как форель,
сын
безузорной пашни.
","['конь', 'форель', 'бежать', 'дом', 'проводы']",Маяковский
"Фокусник
рельсы
тянет из пасти трамвая,
скрыт циферблатами башни.
Мы завоеваны!
Ванны.
Души.
Лифт.
Лиф души расстегнули,
Тело жгут руки.
Кричи, не кричи:
Я не хотела!","['трамвай', 'кричать', 'ванна', 'лифт', 'скрытый']",Маяковский
"—
резок
жгут
муки.
Ветер колючий
трубе
вырывает
дымчатой шерсти клок.
Лысый фонарь
сладострастно снимает
с улицы
черный чулок.
","['жечь', 'вырывать', 'шерсть', 'труба', 'улица']",Маяковский
"Я сразу смазал карту будня,
плеснувши краску из стакана;
я показал на блюде студня
косые скулы океана.
На чешуе жестяной рыбы
прочел я зовы новых губ.
А вы
ноктюрн сыграть
могли бы
на флейте водосточных труб?
Читайте железные книги!
","['ноктюрн', 'стакан', 'рыба', 'прочесть', 'сыграть']",Маяковский
"Под флейту золоченой буквы
полезут копченые сиги
и золотокудрые брюквы.
А если веселостью песьей
закружат созвездия «Магги» —
бюро похоронных процессий
свои проведут саркофаги.
Когда же, хмур и плачевен,
загасит фонарные знаки,
влюбляйтесь под небом харчевен
в фаянсовых чайников маки!
","['золотокудрый', 'похоронный', 'флейта', 'полезть', 'харчевня']",Маяковский
"Рассказ о взлезших на подмосток
аршинной буквою графишь,
и зазывают в вечер с досок
зрачки малеванных афиш.
Автомобиль подкрасил губы
у блеклой женщины Карьера,
а с прилетавших рвали шубы
два огневые фокстерьера.
И лишь светящаяся груша
о тень сломала копья драки,
на ветке лож с цветами плюша
повисли тягостные фраки.
","['фокстерьер', 'рвать', 'огневой', 'прилетать', 'автомобиль']",Маяковский
"Слезают слезы с крыши в трубы,
к руке реки чертя полоски;
а в неба свисшиеся губы
воткнули каменные соски.
И небу — стихши — ясно стало:
туда, где моря блещет блюдо,
сырой погонщик гнал устало
Невы двугорбого верблюда.
Раздвинув локтем тумана дрожжи,
цедил белила из черной фляжки
и, бросив в небо косые вожжи,
качался в тучах, седой и тяжкий.
","['свисшийся', 'тяжкий', 'небо', 'море', 'труба']",Маяковский
"В расплаве меди домов полуда,
дрожанья улиц едва хранимы,
дразнимы красным покровом блуда,
рогами в небо вонзались дымы.
Вулканыбедра за льдами платий,
колосья грудей для жатвы спелы.
От тротуаров с ужимкой татьей
ревниво взвились тупые стрелы.
Вспугнув копытом молитвы высей,
арканом в небе поймали бога
и, ощипавши с улыбкой крысьей,
глумясь, тащили сквозь щель порога.
","['вулканыбёдрый', 'рог', 'глумиться', 'спелый', 'молитва']",Маяковский
"Восток заметил их в переулке,
гримасу неба отбросил выше
и, выдрав солнце из черной сумки,
ударил с злобой по ребрам крыши.
По мостовой
моей души изъезженной
шаги помешанных
вьют жестких фраз пяты.
Где города
повешены
и в петле облака
застыли
башен
кривые выи —
иду
один рыдать,
что перекрестком
распяты
городовые.
","['помешанный', 'восток', 'облако', 'идти', 'повесить']",Маяковский
"Морей неведомых далеким пляжем
идет луна —
жена моя.
Моя любовница рыжеволосая.
За экипажем
крикливо тянется толпа созвездий пестрополосая.
Венчается автомобильным гаражей,
целуется газетными киосками,
а шлейфа млечный путь моргающим пажем
украшен мишурными блестками.
А я?
","['любовница', 'море', 'далёкий', 'млечный', 'гараж']",Маяковский
"Несло же, палимому, бровей коромысло
из глаз колодцев студеные ведра.
В шелках озерных ты висла,
янтарной скрипкой пели бедра?
В края, где злоба крыш,
не кинешь блесткой песни.
В бульварах я тону, тоской песков овеян:
ведь это ж дочь твоя —
моя песня
в чулке ажурном
у кофеен!
","['петь', 'дочь', 'ведро', 'злоба', 'кофейня']",Маяковский
"У меня есть мама на васильковых обоях.
А я гуляю в пестрых павах,
вихрастые ромашки, шагом меряя, мучу.
Заиграет вечер на гобоях ржавых,
подхожу к окошку,
веря,
что увижу опять
севшую
на дом
тучу.
А у мамы больной
пробегают народа шорохи
от кровати до угла пустого.
","['мама', 'кровать', 'гулять', 'васильковый', 'ржавый']",Маяковский
"Мама знает —
это мысли сумасшедшей ворохи
вылезают изза крыш завода Шустова.
И когда мой лоб, венчанный шляпой фетровой,
окровавит гаснущая рама,
я скажу,
раздвинув басом ветра вой:
Мама.
Если станет жалко мне
вазы вашей муки,
сбитой каблуками облачного танца, —
кто же изласкает золотые руки,
вывеской заломленные у витрин Аванцо?..
","['заломить', 'мама', 'облачный', 'золотой', 'танец']",Маяковский
"Я люблю смотреть, как умирают дети.
Вы прибоя смеха мглистый вал заметили
за тоски хоботом?
А я —
в читальне улиц —
так часто перелистывал гроба том.
Полночь
промокшими пальцами щупала
меня
и забитый забор,
и с каплями ливня на лысине купола
скакал сумасшедший собор.
","['гроб', 'тоска', 'читальня', 'ливень', 'скакать']",Маяковский
"Я вижу, Христос из иконы бежал,
хитона оветренный край
целовала, плача, слякоть.
Кричу кирпичу,
слов исступленных вонзаю кинжал
в неба распухшего мякоть:
Солнце!
Отец мой!
Сжалься хоть ты и не мучай!
Это тобою пролитая кровь моя льется дорогою дольней.
Это душа моя
клочьями порванной тучи
в выжженном небе
на ржавом кресте колокольни!
","['плакать', 'христос', 'ржавый', 'целовать', 'небо']",Маяковский
"Время!
Хоть ты, хромой богомаз,
лик намалюй мой
в божницу уродца века!
Я одинок, как последний глаз
у идущего к слепым человека!
Листочки.
После строчек лис —
точки.
Земля!
Дай исцелую твою лысеющую голову
лохмотьями губ моих в пятнах чужих позолот.
","['слепой', 'богомаз', 'исцеловать', 'пятно', 'идти']",Маяковский
"Дымом волос над пожарами глаз из олова
дай обовью я впалые груди болот.
Ты!Нас — двое,
ораненных, загнанных ланями,
вздыбилось ржанье оседланных смертью коней.
Дым изза дома догонит нас длинными дланями,
мутью озлобив глаза догнивающих в ливнях огней.
Сестра моя!
В богадельнях идущих веков,
может быть, мать мне сыщется;
бросил я ей окровавленный песнями рог.
","['огонь', 'рог', 'песня', 'сестра', 'ливень']",Маяковский
"Квакая, скачет по полю
канава, зеленая сыщица,
нас заневолить
Девушка пугливо куталась в болото,
ширились зловеще лягушечьи мотивы,
в рельсах колебался рыжеватый ктото,
и укорно в буклях проходили локомотивы.
В облачные пары сквозь солнечный угар
врезалось бешенство ветряной мазурки,
и вот я — озноенный июльский тротуар,
а женщина поцелуи бросает — окурки!
","['квакать', 'локомотив', 'облачный', 'сыщица', 'солнечный']",Маяковский
"Бросьте города, глупые люди!
 и Идите голые лить на солнцепеке
пьяные вина в мехагруди,
дождьпоцелуи в углищеки.
Лезем земле под ресницами вылезших пальм
выколоть бельма пустынь,
на ссохшихся губах каналов —
дредноутов улыбки поймать.
Стынь, злоба!
На костер разожженных созвездий
взвесть не позволю мою одичавшую дряхлую мать.
","['выколоть', 'дождьпоцелуй', 'пьяный', 'вино', 'созвездие']",Маяковский
"Дорога — рог ада — пьяни грузовозов храпы!
Дымящиеся ноздри вулканов хмелем расширь!
Перья линяющих ангелов бросим любимым на шляпы,
будем хвосты на боа обрубать у комет, ковыляющих в ширь.
По эхам города проносят шумы
на шепоте подошв и на громах колес,
а люди и лошади — это только грумы,
следящие линии убегающих кос.
Проносят девоньки крохотные шумики.
Ящики гула пронесет грузовоз.
Рысак прошуршит в сетчатой тунике.
","['гул', 'лошадь', 'вулкан', 'ангел', 'рысак']",Маяковский
"Трамвай расплещет перекаты гроз.
Все на площадь сквозь туннели пассажей
плывут каналами перекрещенных дум,
где мордой перекошенный, размалеванный сажей
на царство базаров коронован шум.
Адище города окна разбили
на крохотные, сосущие светами адки.
Рыжие дьяволы, вздымались автомобили,
над самым ухом взрывая гудки.
А там, под вывеской, где сельди из Керчи —
сбитый старикашка шарил очки
и заплакал, когда в вечереющем смерче
трамвай с разбега взметнул зрачки.
","['взрывать', 'дьявол', 'трамвай', 'старикашка', 'автомобиль']",Маяковский
"В дырах небоскребов, где горела руда
и железо поездов громоздило лаз —
крикнул аэроплан и упал туда,
где у раненого солнца вытекал глаз.
И тогда уже — скомкав фонарей одеяла —
ночь излюбилась, похабна и пьяна,
а за солнцами улиц гдето ковыляла
никому не нужная, дряблая луна.
Через час отсюда в чистый переулок
вытечет по человеку ваш обрюзгший жир,
а я вам открыл столько стихов шкатулок,
я — бесценных слов мот и транжир.
","['пьяный', 'гореть', 'аэроплан', 'поезд', 'никто']",Маяковский
"Вот вы, мужчина, у вас в усах капуста
гдето недокушанных, недоеденных щей;
вот вы, женщина, на вас белила густо,
вы смотрите устрицей из раковин вещей.
Все вы на бабочку поэтиного сердца
взгромоздитесь, грязные, в калошах и без калош.
Толпа озвереет, будет тереться,
ощетинит ножки стоглавая вошь.
А если сегодня мне, грубому гунну,
кривляться перед вами не захочется — и вот
я захохочу и радостно плюну,
плюну в лицо вам
я — бесценных слов транжир и мот.
","['недоесть', 'поэтин', 'капуста', 'сердце', 'толпа']",Маяковский
"Вошел к парикмахеру, сказал — спокойный:
Будьте добры, причешите мне уши.
Гладкий парикмахер сразу стал хвойный,
лицо вытянулось, как у груши.
Сумасшедший!
Рыжий!—
запрыгали слова.
Ругань металась от писка до писка,
и доооолго
хихикала чьято голова,
выдергиваясь из толпы, как старая редиска.
","['причесать', 'хихикать', 'старый', 'вытянуться', 'сразу']",Маяковский
"Какая очаровательная ночь!
Эта,
указывает на девушку,
что была вчера,
та?
Выговорили на тротуаре
поч —
перекинулось на шины
та.
Город вывернулся вдруг.
Пьяный на шляпы полез.
","['пьяный', 'вывернуться', 'девушка', 'тротуар', 'ночь']",Маяковский
"Вывески разинули испуг.
Выплевывали
то О,
то .
А на горе,
где плакало темно
и город
робкий прилез,
поверилось:
обрюзгло О
и гадко покорное .
","['плакать', 'повериться', 'гора', 'темно', 'город']",Маяковский
"Я сошью себе черные штаны
из бархата голоса моего.
Желтую кофту из трех аршин заката.
По Невскому мира, по лощеным полосам его,
профланирую шагом ДонЖуана и фата.
Пусть земля кричит, в покое обабившись:
Ты зеленые весны идешь насиловать!
Я брошу солнцу, нагло осклабившись:
На глади асфальта мне хорошо грассировать!
Не потому ли, что небо голубо,
а земля мне любовница в этой праздничной чистке,
я дарю вам стихи, веселые, как бибабо,
и острые и нужные, как зубочистки!
","['обабиться', 'солнце', 'любовница', 'голубой', 'зубочистка']",Маяковский
"Женщины, любящие мое мясо, и эта
девушка, смотрящая на меня, как на брата,
закидайте улыбками меня, поэта, —
я цветами нашью их мне на кофту фата!
Послушайте!
Ведь, если звезды зажигают —
значит — это комунибудь нужно?
Значит — ктото хочет, чтобы они были?
Значит — ктото называет эти плевочки
жемчужиной?
И, надрываясь
в метелях полуденной пыли,
врывается к богу,
боится, что опоздал,
плачет,
целует ему жилистую руку,
просит —
чтоб обязательно была звезда!","['любящий', 'зажигать', 'опоздать', 'мясо', 'брат']",Маяковский
"—
клянется —
не перенесет эту беззвездную муку!
А после
ходит тревожный,
но спокойный наружно.
Говорит комуто:
Ведь теперь тебе ничего?
Не страшно?
Да?!
Послушайте!
","['клясться', 'тревожный', 'послушать', 'спокойный', 'ходить']",Маяковский
"Ведь, если звезды
зажигают —
значит — это комунибудь нужно?
Значит — это необходимо,
чтобы каждый вечер
над крышами
загоралась хоть одна звезда?!
Улица провалилась, как нос сифилитика.
Река — сладострастье, растекшееся в слюни.
Отбросив белье до последнего листика,
сады похабно развалились в июне.
","['загораться', 'сладострастие', 'провалиться', 'река', 'сад']",Маяковский
"Я вышел на площадь,
выжженный квартал
надел на голову, как рыжий парик.
Людям страшно — у меня изо рта
шевелит ногами непрожеванный крик.
Но меня не осудят, но меня не облают,
как пророку, цветами устелят мне след.
Все эти, провалившиеся носами, знают:
я — ваш поэт.
Как трактир, мне страшен ваш страшный суд!
Меня одного сквозь горящие здания
проститутки, как святыню, на руках понесут
и покажут богу в свое оправдание.
","['осудить', 'гореть', 'поэт', 'проститутка', 'пророк']",Маяковский
"И бог заплачет над моею книжкой!
Не слова — судороги, слипшиеся комом;
и побежит по небу с моими стихами подмышкой
и будет, задыхаясь, читать их своим знакомым.
В ушах обрывки теплого бала,
а с севера — снега седей —
туман, с кровожадным лицом каннибала,
жевал невкусных людей.
Часы нависали, как грубая брань,
за пятым навис шестой.
А с неба смотрела какаято дрянь
величественно, как Лев Толстой.
","['задыхаться', 'каннибал', 'снег', 'знакомый', 'шестой']",Маяковский
"Вечернюю!Вечернюю!Вечернюю!
Италия!Германия!Австрия!
И на площадь, мрачно очерченную чернью,
багровой крови пролилась струя!
Морду в кровь разбила кофейня,
зверьим криком багрима:
Отравим кровью игры Рейна!
Громами ядер на мрамор Рима!
С неба, изодранного о штыков жала,
слёзы звезд просеивались, как мука в сите,
и подошвами сжатая жалость визжала:
Ах, пустите, пустите, пустите!
","['австрия', 'гром', 'отравить', 'германия', 'рим']",Маяковский
"Бронзовые генералы на граненом цоколе
молили: Раскуйте, и мы поедем!
Прощающейся конницы поцелуи цокали,
и пехоте хотелось к убийце — победе.
Громоздящемуся городу уродился во сне
хохочущий голос пушечного баса,
а с запада падает красный снег
сочными клочьями человечьего мяса.
Вздувается у площади за ротой рота,
у злящейся на лбу вздуваются вены.
Постойте, шашки о шелк кокоток
вытрем, вытрем в бульварах Вены!
","['вздуваться', 'конница', 'мясо', 'пехота', 'запад']",Маяковский
"Газетчики надрывались: Купите вечернюю!
Италия!Германия!Австрия!
А из ночи, мрачно очерченной чернью,
багровой крови лилась и лилась струя.
По черным улицам белые матери
судорожно простерлись, как по гробу глазет.
Вплакались в орущих о побитом неприятеле:
Ах, закройте, закройте глаза газет!
Письмо.
Мама, громче!
Дым.
","['австрия', 'надрываться', 'германия', 'газетчик', 'италия']",Маяковский
"Дым.
Дым еще!
Что вы мямлите, мама, мне?
Видите —
весь воздух вымощен
громыхающим под ядрами камнем!
Ма — а а — ма!
Сейчас притащили израненный вечер.
Крепился долго,
кургузый,
шершавый,
и вдруг, —
надломивши тучные плечи,
расплакался, бедный, на шее Варшавы.
","['надломить', 'дым', 'долго', 'бедный', 'мама']",Маяковский
"Звезды в платочках из синего ситца
визжали:
Убит,
дорогой,
дорогой мой!
И глаз новолуния страшно косится
на мертвый кулак с зажатой обоймой.
Сбежались смотреть литовские села,
как, поцелуем в обрубок вкована,
слезя золотые глаза костелов,
пальцы улиц ломала Ковна.
","['ломать', 'убить', 'поцелуй', 'синий', 'новолуние']",Маяковский
"А вечер кричит,
безногий,
безрукий:
Неправда,
я еще могус — 
хе!—
выбряцав шпоры в горящей мазурке,
выкрутить русый ус!
Звонок.
Что вы,
мама?
","['выбряцать', 'гореть', 'звонок', 'мама', 'вечер']",Маяковский
"Белая, белая, как на гробе глазет.
Оставьте!
О нем это,
об убитом, телеграмма.
Ах, закройте,
закройте глаза газет!
Скрипка издергалась, упрашивая,
и вдруг разревелась
так подетски,
что барабан не выдержал:
Хорошо, хорошо, хорошо!
","['разреветься', 'гроб', 'скрипка', 'телеграмма', 'белый']",Маяковский
"А сам устал,
не дослушал скрипкиной речи,
шмыгнул на горящий Кузнецкий
и ушел.
Оркестр чужо смотрел, как
выплакивалась скрипка
без слов,
без такта,
и только гдето
глупая тарелка
вылязгивала:
Что это?
","['устать', 'оркестр', 'кузнецкий', 'речь', 'гореть']",Маяковский
"Как это?
А когда геликон —
меднорожий,
потный,
крикнул:
Дура,
плакса,
вытри!—
я встал,
шатаясь полез через ноты,
сгибающиеся под ужасом пюпитры,
зачемто крикнул:
Боже!,
Бросился на деревянную шею:
Знаете что, скрипка?
","['крикнуть', 'меднорожий', 'потный', 'бог', 'деревянный']",Маяковский
"Мы ужасно похожи:
я вот тоже
ору —
а доказать ничего не умею!
Музыканты смеются:
Влип как!
Пришел к деревянной невесте!
Голова!
А мне — наплевать!
Я — хороший.
Знаете что, скрипка?
","['скрипка', 'смеяться', 'невеста', 'доказать', 'ужасно']",Маяковский
"Давайте —
будем жить вместе!
А?
Войне ли думать:
Некрасиво в шраме?
Ей ли жалеть
городов гиль?
Как хороший игрок,
раскидала шарами
смерть черепа
в лузы могил.
","['жалеть', 'череп', 'война', 'жить', 'думать']",Маяковский
"Горит материк.
Страны — на нет.
Прилизанная
треплется мира челка.
Слышите?
Хорошо?
Почище кастаньет.
Это вам не на счетах щелкать.
А мне не жалко.
Лица не выгрущу.
Пусть
из нежного
делают казака.
","['выгрустить', 'материк', 'казак', 'гореть', 'слышать']",Маяковский
"Посланный
на выучку новому игрищу,
вернется
облеченный в новый закал.
Была душа поэтами рыта.
Сияющий говорит о любом.
Сердце —
с длинноволосыми открыток
благороднейший альбом.
А теперь
попробуй.
","['поэт', 'альбом', 'сердце', 'рытый', 'любой']",Маяковский
"Сунь ему Анатэм.
В норах мистики вели ему мышиться.
Теперь
у него
душа канатом,
и хоть гвоздь вбивай ей —
каждая мышца.
Ему ли
ныть
в квартирной яме?
А такая
нравится манера вам:
нежность
из памяти
вырвать с корнями,
головы скрутить орущим нервам.
","['ныть', 'нравиться', 'мистика', 'яма', 'квартирный']",Маяковский
"Туда!
В мировую кузню,
в ремонт.
Вернетесь.
О новой поведаю Спарте я.
А слабым
смерть,
маркер времен,
ори:
Партия!
Я живу на Большой Пресне,
, .
","['орь', 'смерть', 'ремонт', 'жить', 'партия']",Маяковский
"Место спокойненькое.
Тихонькое.
Ну?
Кажется — какое мне дело,
что гдето
в буремире
взяли и выдумали войну?
Ночь пришла.
Хорошая.
Вкрадчивая.
И чего это барышни некоторые
дрожат, пугливо поворачивая
глаза громадные, как прожекторы?
","['пугливо', 'спокойненький', 'выдумать', 'война', 'прожектор']",Маяковский
"Уличные толпы к небесной влаге
припали горящими устами,
а город, вытрепав ручонкифлаги,
молится и молится красными крестами.
Простоволосая церковка бульварному
изголовью
припала, — набитый слезами куль, —
а у бульвара цветники истекают кровью,
как сердце, изодранное пальцами пуль.
Тревога жиреет и жиреет,
жрет зачерствевший разум.
","['слеза', 'гореть', 'крест', 'жрать', 'небесный']",Маяковский
"Уже у Ноева оранжереи
покрылись смертельнобледным газом!
Скажите Москве —
пускай удержится!
Не надо!
Пусть не трясется!
Через секунду
встречу я
неб самодержца, —
возьму и убью солнце!
Видите!
","['смертельнобледный', 'москва', 'газ', 'оранжерея', 'встреча']",Маяковский
"Флаги по небу полощет.
Вот он!
Жирен и рыж.
Красным копытом грохнув о площадь,
въезжает по трупам крыш!
Тебе,
орущему:
Разрушу,
разрушу!,
вырезавшему ночь из окровавленных карнизов,
я,
сохранивший бесстрашную душу,
бросаю вызов!
","['разрушить', 'красный', 'бесстрашный', 'ночь', 'флаг']",Маяковский
"Идите, изъеденные бессонницей,
сложите в костер лица!
Все равно!
Это нам последнее солнце —
солнце Аустерлица!
Идите, сумасшедшие, из России, Польши.
Сегодня я — Наполеон!
Я полководец и больше.
Сравните:
я и — он!
Он раз чуме приблизился троном,
смелостью смерть поправ, —
я каждый день иду к зачумленным
по тысячам русских Яфф!
","['наполеон', 'полководец', 'бессонница', 'большой', 'россия']",Маяковский
"Он раз, не дрогнув, стал под пули
и славится столетий сто, —
а я прошел в одном лишь июле
тысячу Аркольских мостов!
Мой крик в граните времени выбит,
и будет греметь и гремит,
оттого, что
в сердце, выжженном, как Египет,
есть тысяча тысяч пирамид!
За мной, изъеденные бессонницей!
Выше!
","['греметь', 'египет', 'столетие', 'бессонница', 'июль']",Маяковский
"В костер лица!
Здравствуй,
мое предсмертное солнце,
солнце Аустерлица!
Люди!
Будет!
На солнце!
Прямо!
Солнце съежится аж!
Громче из сжатого горла храма
хрипи, похоронный марш!
","['похоронный', 'громкий', 'аустерлица', 'марш', 'солнце']",Маяковский
"Люди!
Когда канонизируете имена
погибших,
меня известней, —
помните:
еще одного убила война —
поэта с Большой Пресни!
Вам, проживающим за оргией оргию,
имеющим ванную и теплый клозет!
Как вам не стыдно о представленных к Георгию
вычитывать из столбцов газет?!
","['поэт', 'стыдно', 'георгий', 'война', 'убить']",Маяковский
"Знаете ли вы, бездарные, многие,
думающие, нажраться лучше как, —
может быть, сейчас бомбой ноги
выдрало у Петрова поручика?..
Если б он, приведенный на убой,
вдруг увидел, израненный,
как вы измазанной в котлете губой
похотливо напеваете Северянина!
Вам ли, любящим баб да блюда,
жизнь отдавать в угоду?!
Я лучше в баре блядям буду
подавать ананасную воду!
","['нажраться', 'котлета', 'любящий', 'бар', 'северянин']",Маяковский
"По Красному морю плывут каторжане,
трудом выгребая галеру,
рыком покрыв кандальное ржанье,
орут о родине Перу.
О рае Перу орут перуанцы,
где птицы, танцы, бабы
и где над венцами цветов померанца
были до небес баобабы.
Банан, ананасы!Радостей груда!
Вино в запечатанной посуде
Но вот неизвестно зачем и откуда
на Перу наперли судьи!
","['ананас', 'красный', 'птица', 'труд', 'танец']",Маяковский
"И птиц, и танцы, и их перуанок
кругом обложили статьями.
Глаза у судьи — пара жестянок
мерцает в помойной яме.
Попал павлин оранжевосиний
под глаз его строгий, как пост, —
и вылинял моментально павлиний
великолепный хвост!
А возле Перу летали по прерии
птички такие — колибри;
судья поймал и пух и перья
бедной колибри выбрил.
","['павлин', 'перуанка', 'летать', 'строгий', 'танец']",Маяковский
