,poet_id,content
32,pushkin,"Старик кряхтя на бок перевернулся
И в простыню тепленько завернулся,
Сомкнул глаза, заснул и стал храпеть.
Тот час Молок вдруг в муху превратился
И полетел жужжать вокруг него.
Летал, летал, по комнате кружился
И на нос сел монаха моего.
Панкратья вновь он соблазнять пустил.
Монах храпит и чудный видит сон.
Казалося ему, что средь долины,
Между цветов, стоит под миртом он,
Вокруг него Сатиров, Фавнов сонм.
"
33,pushkin,"Иной смеясь льет в кубок пенны вины;
Зеленый плющ на черных волосах,
И виноград на голове висящий,
И легкий фирз, у ног его лежащий,—
Всё говорит, что вечноюный Вакх,
Веселья бог, сатира покровитель.
"
34,pushkin,"Другой, надув пастушечью свирель,
Поет любовь, и сердца повелитель
Одушевлял его веселу трель.
Под липами там пляшут хороводом
Толпы детей и юношей, и дев.
А далее, ветвей под темным сводом,
В густой тени развесистых дерев,
На ложе роз, любовью распаленны,
Чутьчуть дыша, весельем истощенны,
Средь радостей и сладостных прохлад,
Обнявшися любовники лежат.
"
35,pushkin,"Монах на всё взирал смятенным оком
То на стакан он взоры обращал,
То на девиц глядел чернец со вздохом,
Плешивый лоб с досадою чесал—
Стоя, как пень, и рот в сажень разинув.
И вдруг, в душе почувствовав кураж
И на бекрень взъярясь клобук надвину:.
В зеленый лес, как белоусый паж,
Как легкий конь, за девкою погнался.
Быстрей орла, быстрее звука лир
Прелестница летела, как зефир.
"
36,pushkin,"Но наш Монах Эол пред ней казался,
Без отдыха за новой Дафной гнался.
«Не дам,– ворчал,– я промаха в кольцо».
Но леший вдруг, мелькнув изза кусточка,
Панкратья хвать юбчонкою в лицо.
И вдруг исчез приятный вид лесочка.
Ручья, холмов и Нимф не видит он,
Уж Фавнов нет, вспорхнул и Купидон,
И нет следа красоточки прелестной.
Монах один в степи глухой, безвестной,
Нахмуря взор; темнеет небосклон,
Вдруг грянул гром, монаха поражает—
Панкратий: «Ах!..», и вдруг проснулся он.
"
37,pushkin,"Смущенный взор он всюду обращает:
На небесах, как яхонты, горя,
Уже восток румянила заря.
И юбки нет.– Панкратий встал, умылся
И, помолясь, он плакать сильно стал,
Сел под окно и горько горевал.
Ах!– думал он,– почто ты прогневился?
Чем виноват, владыко, пред тобой?
Как грешником, вертит нечистый мной.
Хочу не спать, хочу тебе молиться,
Возьму псалтирь, а тут и юбку вдруг.
"
38,pushkin,"Хочу вздремать и ночью сном забыться,
Что ж снится мне? смущается мой дух.
Услышь мое усердное моленье,
Не дай мне впасть, господь, во искушенье!
Услышал бог молитвы старика,
И ум его в минуту просветился.
Из бедного седого простяка
Панкратий вдруг в Невтоны претворился.
Обдумывал, смотрел, сличал, смекнул
И в радости свой опрокинул стул.
И, как мудрец, кем Сиракуз спасался,
По улице бежавший бос и гол,
Открытием своим он восхищался
И громко всем кричал: «нашел! нашел!»
Ну!– думал он,– от бесов и юбчонки
Избавлюсь я – и милые девчонки
Уже меня во сне не соблазнят.
"
39,pushkin,"Я заживу опять монах монахом,
Я стану ждать последний час со страхом
И с верою, и всё пойдет на лад.
Так мыслил он – и очень ошибался.
Могущий Рок, вселенной Господин,
Панкратием, как куклой, забавлялся.
Монах водой наполнил свой кувшин,
Забормотал над ним слова молитвы
И был готов на грозны ада битвы.
Ждет юбки он – с своей же стороны
Нечистый дух весь день был на работе
И весь в жару, в грязи, в пыли и поте
Предупредить спешил восход луны.
"
40,pushkin,"Чернилами я не марал бы пальцы,
Не засорял бумагою чердак,
И за бюро, как девица за пяльцы,
Стихи писать не сел бы я никак.
"
41,pushkin,"Я кисти б взял бестрепетной рукою
И, выпив вмиг шампанского стакан,
Трудиться б стал я с жаркой головою,
Как Цициан иль пламенный Албан.
"
42,pushkin,"Представил бы все прелести Натальи,
На полну грудь спустил бы прядь волос,
Вкруг головы венок душистых роз,
Вкруг милых ног одежду резвей Тальи,
Стан обхватил Киприды б пояс злат.
И кистью б был счастливей я стократ!
Иль краски б взял Вернета иль Пуссина;
Волной реки струилась бы холстина;
На небосклон палящих, южных стран
Возведши ночь с задумчивой луною,
Представил бы над серою скалою,
Вкруг коей бьет шумящий океан,
Высокие, покрыты мохом стены;
И там в волнах, где дышет ветерок,
На серебре, вкруг скал блестящей пены,
Зефирами колеблемый челнок.
"
43,pushkin,"Нарисовал бы в нем я Кантемиру,
Ее красы и рад бы бросить лиру,
От чистых муз навеки удалясь.
Но Рубенсом на свет я не родился,
Не рисовать, я рифмы плесть пустился.
Мартынов пусть пленяет кистью нас,
А я – я вновь взмостился на Парнас.
Исполнившись иройскою отвагой,
Опять беру чернильницу с бумагой
И стану вновь я песни продолжать.
Что делает теперь седой Панкратий?
"
44,pushkin,"Что делает и враг его косматый?
Уж перестал Феб землю освещать;
Со всех сторон уж тени налетают;
Туман сокрыл вид рощиц и лесов;
Уж коегде и звездочки блистают
Уж и луна мелькнула сквозь лесов
Ни жив, ни мертв сидит под образами
Чернец, молясь обеими руками.
И вдруг бела, как вновь напавший снег
Москвы реки на каменистый брег,
Как легка тень, в глазах явилась юбка
Монах встает, как пламень покраснев,
Как модинки прелестной ала губка.
"
45,pushkin,"О чудо!.. вмиг сей призрак исчезает—
И вот пред ним с рогами и с хвостом,
Как серый волк, щетиной весь покрытый,
Как добрый конь с подкованным копытом
Предстал Молок, дрожащий под столом,
С главы до ног облитый весь водою,
Закрыв себя подолом епанчи,
Вращал глаза, как фонари в ночи.
"
46,pushkin,"Ура!– вскричал монах с усмешкой злою,
Поймал тебя. подземный чародей.
Ты мой теперь, не вырвешься, злодей.
Все шалости заплатишь головою.
Иди в бутыль, закупорю тебя,
Сейчас ее в колодез брошу я.
Ага, Мамон! дрожишь передо мною.
–Ты победил, почтенный старичок,—
Так отвечал смирьнехонько Молок.—
Ты победил, но будь великодушен,
В гнилой воде меня не потопи.
"
47,pushkin,"Я буду ввек за то тебе послушен,
Спокойно ешь, спокойно ночью спи,
Уж соблазнять тебя никак не стану.
–Всё так, всё так, да полезай в бутыль,
Уж от тебя, мой друг, я не отстану,
Ведь плутни все твои я не забыл.
–Прости меня, доволен будешь мною,
Богатства все польют к тебе рекою.
Как Банкова, я в знать тебя пущу,
Достану дом, куплю тебе кареты,
Придут к тебе в переднюю поэты;
Всех кланяться заставлю богачу,
Сниму клобук, по моде причешу.
"
48,pushkin,"Всё променяв на длинный фрак с штанами,
Поскачешь ты гордиться жеребцами,
Народ, смеясь, колесами давить
И аглинской каретой всех дивить.
"
49,pushkin,"Поедешь ты потеть у Шиловского,
За ужином дремать у Горчакова,
К Нарышкиной подправливать жилет.
Потом всю знать с министрами, с князьями
Ведь будешь жить, как с кровными друзьями
Ты позовешь на пышный свой обед.
–Не соблазнишь! тебя я не оставлю,
Без дальних слов сей час в бутыль иди.
–Постой, постой, голубчик, погоди!
Я жен тебе и красных дев доставлю.
–Проклятый бес! как? и в моих руках
Осмелился ты думать о женах!
"
50,pushkin,"Смотри какой! но нет, работник ада,
Ты не прельстишь Панкратья суетой.
За всё, про всё готова уж награда,
Раскаешься, служитель беса злой!
–Минуту дай с тобою изъясниться,
Оставь меня, не будь врагом моим.
Поступок сей наверно наградится,
А я тебя свезу в Иерусалим.
При сих словах Монах себя не вспомнил.
«В Иерусалим!»– дивясь он бесу молвил.
–«В Иерусалим!– да, да, свезу тебя».
"
51,pushkin,"–«Ну, естьли так, тебя избавлю я».
Старик, старик, не слушай ты Молока,
Оставь его, оставь Иерусалим.
Лишь ищет бес поддеть святого с бока,
Не связывай ты тесной дружбы с ним.
Но ты меня не слушаешь, Панкратий,
Берешь седло, берешь чепрак, узду.
Уж под тобой бодрится чорт проклятый,
Готовится на адскую езду.
Лети, старик, сев на плеча Молока,
Толкай его и в зад и под бока,
Лети, спеши в священный град востока,
Но помни то, что не на лошака
Ты возложил свои почтенны ноги.
"
52,pushkin,"Внук Тредьяковского Клит гекзаметром песенки пишет,
Противу ямба, хорея злобой ужасною дышет;
Мера простая сия всё портит, по мнению Клита,
Смысл затмевает стихов и жар охлаждает пиита.
Спорить о том я не смею, пусть он безвинных поносит,
Ямб охладил рифмача, гекзаметры ж он заморозит.
"
53,pushkin,"Арист, поверь ты мне, оставь перо, чернилы,
Забудь ручьи, леса, унылые могилы,
В холодных песенках любовью не пылай;
Чтоб не слететь с горы, скорее вниз ступай!
"
54,pushkin,"Быть может и теперь, от шума удалясь
И с глупой музою навек соединясь,
Под сенью мирною Минервиной эгиды
Сокрыт другой отец второй «Телемахиды».
"
55,pushkin,"Страшись бесславия!– Что, естьли Аполлон,
Услышав, что и ты полез на Геликон,
С презреньем покачав кудрявой головою,
Твой гений наградит – спасительной лозою?
"
56,pushkin,"Но что? ты хмуришься и отвечать готов;
Пожалуй,– скажешь мне,– не трать излишних слов;
Когда на что решусь, уж я не отступаю,
И знай, мой жребий пал, я лиру избираю.
"
57,pushkin,"Пусть судит обо мне, как хочет, целый свет,
Сердись, кричи, бранись,– а я таки поэт.
Арист, не тот поэт, кто рифмы плесть умеет
И, перьями скрыпя, бумаги не жалеет.
Хорошие стихи не так легко писать,
Как Витгенштеину французов побеждать.
Меж тем как Дмитриев, Державин, Ломоносов.
Певцы бессмертные, и честь, и слава россов,
Питают здравый ум и вместе учат нас,
Сколь много гибнет книг, на свет едва родясь!
Творенья громкие Рифматова, Графова
С тяжелым Бибрусом гниют у Глазунова;
Никто не вспомнит их, не станет вздор читать,
И Фебова на них проклятия печать.
"
58,pushkin,"Положим, что, на Пинд взобравшися счастливо,
Поэтом можешь ты назваться справедливо:
Все с удовольствием тогда тебя прочтут.
Но мнишь ли, что к тебе рекой уже текут
За то, что ты поэт, несметные богатства,
Что ты уже берешь на откуп государства,
В железных сундуках червонцы хоронишь
И, лежа на боку, покойно ешь и спишь?
Не так, любезный друг, писатели богаты;
Судьбой им не даны ни мраморны палаты,
Ни чистым золотом набиты сундуки:
Лачужка под землей, высоки чердаки—
Вот пышны их дворцы, великолепны залы.
"
59,pushkin,"Поэтов – хвалят все, питают – лишь журналы;
Катится мимо их Фортуны колесо;
Родился наг и наг ступает в гроб Руссо;
Камоэнс с нищими постелю разделяет;
Костров на чердаке безвестно умирает,
Руками чуждыми могиле предан он:
Их жизнь – ряд горестей, гремяща слава – сон.
Ты, кажется, теперь задумался немного.
Да что же,– говоришь,– судя о всех так строго,
Перебирая всё, как новый Ювенал,
Ты о Поэзии со мною толковал;
А сам, поссорившись с Парнасскими сестрами,
Мне проповедовать пришел сюда стихами?
"
60,pushkin,"Что сделалось с тобой?В уме ли ты, иль нет?
Арист, без дальных слов, вот мой тебе ответ:
В деревне, помнится, с мирянами простыми,
Священник пожилой и с кудрями седыми,
В миру с соседями, в чести, довольстве жил
И первым мудрецом у всех издавна слыл.
Однажды, осушив бутылки и стаканы,
Со свадьбы, под вечер, он шел немного пьяный;
Попалися ему навстречу мужики.
Послушай, батюшка,– сказали простяки,—
Настави грешных нас – ты пить ведь запрещаешь
Быть трезвым всякому всегда повелеваешь,
И верим мы тебе; да что ж сегодня сам
–Послушайте,– сказал священник мужикам,—
Как в церкви вас учу, так вы и поступайте,
Живите хорошо, а мне – не подражайте.
"
61,pushkin,"И мне то самое пришлося отвечать;
Я не хочу себя нимало оправдать:
Счастлив, кто, ко стихам не чувствуя охоты,
Проводит тихой век без горя, без заботы,
Своими одами журналы не тягчит,
И над экспромптами недели не сидит!
"
62,pushkin,"Не любит он гулять по высотам Парнасса,
Не ищет чистых муз, ни пылкого Пегаса,
Его с пером в руке Рамаков не страшит;
Спокоен, весел он, Арист, он – не пиит.
"
63,pushkin,"Дар напрасный, дар случайный,
Жизнь, зачем ты мне дана?
Иль зачем судьбою тайной
Ты на казнь осуждена?
Кто меня враждебной властью
Из ничтожества воззвал,
Душу мне наполнил страстью,
Ум сомненьем взволновал?
Цели нет передо мною:
Сердце пусто, празден ум,
И томит меня тоскою
Однозвучный жизни шум.
"
64,pushkin,"Вдали ты зришь утес уединенный;
Пещеры в нем изрылась глубина:
Темнеет вход, кустами окруженный,
Вблизи шумит и пенится волна.
"
65,pushkin,"Вечор, когда туманилась луна,
Здесь милого Эвлега призывала;
Здесь тихий глас горам передавала
Во тьме ночной печальна и одна:
Приди, Одульф, уж роща побледнела.
На дикой мох Одульфа ждать я села,
Пылает грудь, за вздохом вздох летит.
О! сладко жить, мой друг, душа с душою.
Приди, Одульф, забудусь я с тобою,
И поцелуй любовью возгорит.
Беги, Осгар, твои мне страшны взоры,
Твой грозен вид, и хладны разговоры.
"
66,pushkin,"Оставь меня, не мною торжествуй!
Уже другой в ночи со мною дремлет,
Уж на заре другой меня объемлет,
И сладостен его мне поцелуй.
Что ж медлит он свершить мои надежды?
Для милого я сбросила одежды!
Завистливый покров у ног лежит.
Но чу!.. идут – так! это друг мой нежный.
Уж начались восторги страсти нежной,
И поцелуй любовью возгорит.
Идет Одульф; во взорах – упоенье,
В груди – любовь, и прочь бежит печаль;
Но близ его во тьме сверкнула сталь,
И вздрогнул он – родилось подозренье:
Кто ты?– спросил,– почто ты здесь?"
67,pushkin,"Булатный меч в минуту обнажен,
Огонь летит струями от удара
Услышала Эвлега стук мечей
И бросила со страхом хлад пещерный.
"
68,pushkin,"Приди узреть предмет любви твоей!—
Вскричал Одульф подруге нежной, верной.—
Изменница! ты здесь его зовешь?
Во тьме ночной вас услаждает нега,
Но дерзкого в Валгалле ты найдешь!
Он поднял меч и с трепетом Эвлега
Падет на дерн, как клок летучий снега,
Мятелицей отторженный со скал!
Друг на друга соперники стремятся,
Кровавый ток по камням побежал:
В кустарники с отчаяньем катятся.
"
69,pushkin,"По камням гробовым, в туманах полуночи,
Ступая трепетно усталою ногой,
По Лоре путник шел, напрасно томны очи
Ночлега мирного искали в тьме густой.
"
70,pushkin,"Пещеры нет пред ним, на береге угрюмом
Не видит хижины, наследья рыбаря;
В дали дремучий бор качают ветры с шумом,
Луна за тучами, и в море спит заря.
"
71,pushkin,"Идет, и на скале, обросшей влажным мохом,
Зрит барда старого – веселье прошлых лет:
Склонясь седым челом над воющим потоком,
В безмолвии времен он созерцал полет.
"
72,pushkin,"Зубчатый меч висел на ветьви мрачной ивы.
Задумчивый певец взор тихий обратил
На сына чуждых стран, и путник боязливый
Содрогся в ужасе и мимо поспешил.
Стой, путник! стой!– вещал певец веков минувших:—
Здесь пали храбрые, почти их бранный прах!
Почти геройства чад, могилы сном уснувших!
Пришлец главой поник – и, мнилось, на холмах
Восставший ряд теней главы окровавленны
С улыбкой гордою на странника склонял.
«Чей гроб я вижу там?»– вещал иноплеменный
И барду посохом на берег указал.
"
73,pushkin,"Но он искал его: я зрел, как в ратном строе
Он первыя стрелы с весельем ожидал
И рвался из рядов, и пал в кипящем бое:
Покойся, юноша! ты в брани славной пал.
"
74,pushkin,"Во цвете нежных лет любил Осгар Мальвину,
Не раз он в радости с подругою встречал
Вечерний свет луны, скользящий на долину,
И тень, упадшую с приморских грозных скал.
"
75,pushkin,"Казалось, их сердца друг к другу пламенели;
Одной, одной Осгар Мальвиною дышал;
Но быстро дни любви и счастья пролетели,
И вечер горести для юноши настал.
"
76,pushkin,"Однажды, в темну ночь зимы порой унылой,
Осгар стучится в дверь красавицы младой
И шепчет: «Юный друг! не медли, здесь твой милый!»
Но тихо в хижине.Вновь робкою рукой
Стучит и слушает: лишь ветры с свистом веют.
Ужели спишь теперь, Мальвина?– мгла вокруг,
Валится снег, власы в тумане леденеют.
Услышь, услышь меня, Мальвина, милый друг!
Он в третий раз стучит, со скрыпом дверь шатнулась.
Он входит с трепетом.Несчастный! что ж узрел?
Темнеет взор его, Мальвина содрогнулась,
Он зрит – в объятиях изменницы Звигнел!
"
77,pushkin,"Мальвина обняла несчастного колена,
Но взоры отвратив: Живи!– вещал Осгар,—
Живи, уж я не твой, презренна мной измена,
Забуду, потушу к неверной страсти жар.
"
78,pushkin,"Я видел юношу: поникнув головою,
Мальвины имя он в отчаяньи шептал;
Как сумрак, дремлющий над бездною морскою,
На сердце горестном унынья мрак лежал.
"
79,pushkin,"На друга детских лет взглянул он торопливо;
Уже недвижный взор друзей не узнавал;
От пиршеств удален, в пустыне молчаливой
Он одиночеством печаль свою питал.
"
80,pushkin,"И длинный год провел Осгар среди мучений.
Вдруг грянул трубный глас!Оденов сын, Фингал,
Вел грозных на мечи, в кровавый пыл сражений.
Осгар послышал весть и бранью воспылал.
Здесь меч его сверкнул, и смерть пред ним бежала;
Покрытый ранами, здесь пал на груду тел.
Он пал – еще рука меча кругом искала,
И крепкий сон веков на сильного слетел.
Побегли вспять враги – и тихий мир герою!
И тихо все вокруг могильного холма!
Лишь в осень хладную, безмесячной порою,
Когда вершины гор тягчит сырая тьма,
В багровом облаке, одеянна туманом,
Над камнем гробовым уныла тень сидит,
И стрелы дребезжат, стучит броня с колчаном,
И клен, зашевелясь, таинственно шумит.
"
81,pushkin,"Младой Дафнис, гоняясь за Доридой,
Постой,– кричал,– прелестная! постой,
Скажи: «Люблю» – и бегать за тобой
Не стану я – клянуся в том Кипридой!
"
82,pushkin,"«Молчи, молчи!»– Рассудок говорил,
А плут Эрот: Скажи: «ты сердцу мил!»
«Ты сердцу мил!»– пастушка повторила,
И их сердца огнем любви зажглись,
И пал к ногам красавицы Дафнис,
И страстный взор Дорида потупила.
"
83,pushkin,"«Беги, беги!»– Рассудок ей твердил,
А плут Эрот: «Останься!»– говорил.
Осталася – и трепетной рукою
Взял руку ей счастливый пастушок.
Взгляни,– сказал,– с подругой голубок
Там обнялись под тенью лип густою!
«Беги! беги!»– Рассудок повторил,
«Учись от них!»– Эрот ей говорил.
И нежная улыбка пробежала
Красавицы на пламенных устах
И вот она с томлением в глазах
К любезному в объятия упала
«Будь счастлива!»– Эрот ей прошептал.
"
84,pushkin,"Ты хочешь, друг бесценный,
Чтоб я, поэт младой,
Беседовал с тобой
И с лирою забвенной,
Мечтами окриленный,
Оставил монастырь
И край уединенный,
Где непрерывный мир
Во мраке опустился
И в пустыни глухой
Безмолвно воцарился
С угрюмой тишиной.
"
85,pushkin,"И быстрою стрелой
На невской брег примчуся
С подругой обнимуся
Весны моей златой,
И, как певец Людмилы,
Мечты невольник милый,
Взошед под отчий кров,
Несу тебе не злато
Чернец я небогатый,
В 
Тайком взошед в диванну,
Хоть помощью пера,
О, как тебя застану,
Любезная сестра?
"
